"waldStat" "df" "pvalue" "waldStat_1" "df_1" "pvalue_1" "meanLogFC"
"MYADM" NA NA NA NA NA NA 0.616478252740294
"CITED4" 79.6988328121978 6 4.10782519111308e-15 79.6988328121978 6 4.10782519111308e-15 0.419514098915366
"TENT5A" NA NA NA NA NA NA 1.54156148775466
"GSTM3" 272.390492385348 6 0 272.390492385348 6 0 0.687078258975135
"MRPS6" NA NA NA NA NA NA 0.385327772675424
"ITGB4" 673.777160234244 6 0 673.777160234244 6 0 1.2938809678779
"BHLHE40" 40.8370898169315 6 3.11769912331172e-07 40.8370898169315 6 3.11769912331172e-07 0.198083075160256
"SDC1" NA NA NA NA NA NA 0.572624533104781
"KLF11" 33.9974095623237 6 6.73515149329784e-06 33.9974095623237 6 6.73515149329784e-06 0.585614955764927
"EPHA2" NA NA NA NA NA NA 1.22223266758542
"PSMB9" NA NA NA NA NA NA 0.666677697973588
"PSIP1" 228.404159875665 6 0 228.404159875665 6 0 0.882707306976274
"MYC" 211.170269508455 6 0 211.170269508455 6 0 0.543865622223475
"RAP2B" NA NA NA NA NA NA 1.07926952900285
"NUDT8" NA NA NA NA NA NA 1.08198465250504
"EIF4EBP1" 219.13610900287 6 0 219.13610900287 6 0 1.7488794848793
"KLF6" 87.9254719821802 6 1.11022302462516e-16 87.9254719821802 6 1.11022302462516e-16 0.414944083756542
"CLEC2B" 145.444704895148 6 0 145.444704895148 6 0 1.69220720132823
"DKK3" 441.289191973753 6 0 441.289191973753 6 0 2.25660514687873
"NR4A2" NA NA NA NA NA NA 0.437094747676347
"WDR66" NA NA NA NA NA NA 0.293944741490026
"HSPA5" 112.214432866012 6 0 112.214432866012 6 0 0.529318698359886
"CCL27" NA NA NA NA NA NA 1.26357440934473
"FOXQ1" NA NA NA NA NA NA 1.27769305755436
"NR4A1" NA NA NA NA NA NA 0.151910205953446
"CEBPB" 52.610333503221 6 1.4055717700856e-09 52.610333503221 6 1.4055717700856e-09 0.283359533141608
"IER5L" 14.3853753470405 6 0.0256153865593172 14.3853753470405 6 0.0256153865593172 0.128332059949907
"RPS26" 34.3957693628731 6 5.64124355095785e-06 34.3957693628731 6 5.64124355095785e-06 0.410421518970927
"PLSCR1" NA NA NA NA NA NA 0.275521756660946
"NUCKS1" 385.930233526406 6 0 385.930233526406 6 0 0.37686792239178
"LSP1" NA NA NA NA NA NA 3.81461177535366
"ARHGDIB" 21.1978669987866 6 0.00169030065339326 21.1978669987866 6 0.00169030065339326 0.120778652949593
"ARL5B" NA NA NA NA NA NA 0.655315663540727
"RHOD" NA NA NA NA NA NA 1.22577937974863
"EFNA1" 1.77502095973821 6 0.939183850671229 1.77502095973821 6 0.939183850671229 0.0217112001976142
"CSRP2" 127.70332949383 6 0 127.70332949383 6 0 0.693419551692769
"TMEM54" NA NA NA NA NA NA 0.649407770642087
"H2AFX" 136.570662844184 6 0 136.570662844184 6 0 0.310233399788633
"PDLIM2" 207.941043308522 6 0 207.941043308522 6 0 0.581045076392363
"CHCHD10" 46.7829014818532 6 2.06726737950191e-08 46.7829014818532 6 2.06726737950191e-08 0.280881210306498
"LGALS3BP" NA NA NA NA NA NA 0.523633378677199
"DAPL1" 284.80892487246 6 0 284.80892487246 6 0 0.282465653777433
"TMEM106C" 359.692627153949 6 0 359.692627153949 6 0 0.864107639323794
"RORA" NA NA NA NA NA NA 2.02618459153355
"FDPS" 338.748364681026 6 0 338.748364681026 6 0 0.737829142178708
"RNF19A" NA NA NA NA NA NA 0.311243394634055
"TRIB1" NA NA NA NA NA NA 0.253141789737196
"LAMTOR4" 462.64334928199 6 0 462.64334928199 6 0 0.548379780844651
"TUBB6" 283.323903630054 6 0 283.323903630054 6 0 1.38660125470256
"DSP" 520.075951717979 6 0 520.075951717979 6 0 0.555428300870393
"EGR3" NA NA NA NA NA NA 0.478247486179004
"GATB" 50.7274279215467 6 3.3595922710461e-09 50.7274279215467 6 3.3595922710461e-09 1.49501482377247
"XIST" NA NA NA NA NA NA 0.211371989057351
"DSG3" NA NA NA NA NA NA 0.445044145717411
"EXOC3" 71.5703209617074 6 1.94733118519252e-13 71.5703209617074 6 1.94733118519252e-13 1.3726451595822
"RANBP1" NA NA NA NA NA NA 0.326989782419918
"TGIF1" NA NA NA NA NA NA 0.27519347682649
"PIM3" 64.4202481426689 6 5.66535707235971e-12 64.4202481426689 6 5.66535707235971e-12 0.281180354160131
"SKA2" NA NA NA NA NA NA 0.622965140768879
"ANP32E" NA NA NA NA NA NA 0.345793342821168
"BCL10" NA NA NA NA NA NA 1.16090189265763
"CSNK2A2" 87.8566628453813 6 1.11022302462516e-16 87.8566628453813 6 1.11022302462516e-16 0.314398345363892
"ACAT2" NA NA NA NA NA NA 0.591459005624082
"ANXA1" NA NA NA NA NA NA 0.408583233287551
"RPA3" 423.897731301278 6 0 423.897731301278 6 0 0.549139962106895
"WNT3" 713.552720319224 6 0 713.552720319224 6 0 1.34982028245182
"PMEPA1" NA NA NA NA NA NA 0.340964818071759
"CD59" NA NA NA NA NA NA 0.548776928264612
"PALLD" NA NA NA NA NA NA 0.815499169900116
"TSHZ2" 148.90377715609 6 0 148.90377715609 6 0 0.329628132719211
"EMP2" NA NA NA NA NA NA 0.525932976078506
"SERPINB5" NA NA NA NA NA NA 1.53511105461815
"GJA1" 334.238876640205 6 0 334.238876640205 6 0 0.669523320066554
"SERPINB6" 282.809691439463 6 0 282.809691439463 6 0 1.27384730067207
"DUSP5" 41.0977038173848 6 2.77012614513517e-07 41.0977038173848 6 2.77012614513517e-07 0.538391104367167
"KIF22" 310.293463403186 6 0 310.293463403186 6 0 0.449660744864237
"SUB1" 84.5199120083684 6 4.44089209850063e-16 84.5199120083684 6 4.44089209850063e-16 0.507864681443139
"CDCA4" NA NA NA NA NA NA 0.522383710574415
"SLC7A1" NA NA NA NA NA NA 0.717276573009549
"ACTN1" NA NA NA NA NA NA 0.93979790266529
"DNAJA1" NA NA NA NA NA NA 0.316797451139314
"NFIL3" NA NA NA NA NA NA 0.537980764398928
"ID2" NA NA NA NA NA NA 0.498982347973147
"MIS18BP1" 250.016815174538 6 0 250.016815174538 6 0 0.519712125655348
"SNAI2" NA NA NA NA NA NA 0.36756898298699
"MAFF" NA NA NA NA NA NA 0.296615324301618
"COL7A1" 548.750062651708 6 0 548.750062651708 6 0 1.33498028014836
"S100A16" 448.426842403022 6 0 448.426842403022 6 0 0.998728981099158
"RAB11A" 348.412969205456 6 0 348.412969205456 6 0 0.938381074025958
"TGFBI" 397.321450146865 6 0 397.321450146865 6 0 1.5574542150423
"CALM2" NA NA NA NA NA NA 0.237049305037556
"MSN" 186.719251940062 6 0 186.719251940062 6 0 0.335876050052607
"EHF" 85.0611274426817 6 3.33066907387547e-16 85.0611274426817 6 3.33066907387547e-16 1.15397866014096
"IL1RN" 183.256261754104 6 0 183.256261754104 6 0 1.26349183707469
"JUP" 519.835088257968 6 0 519.835088257968 6 0 1.44469724807116
"LDLR" NA NA NA NA NA NA 0.794421574315823
"PLIN2" 174.23626985562 6 0 174.23626985562 6 0 0.380494874362595
"TNFAIP8" 101.794872770202 6 0 101.794872770202 6 0 0.88131411391072
"PLEK2" 505.085489173593 6 0 505.085489173593 6 0 0.42497478429127
"SLBP" 247.870552179789 6 0 247.870552179789 6 0 0.450575650263536
"IFFO2" NA NA NA NA NA NA 0.585672732454937
"FRMD4B" NA NA NA NA NA NA 0.275568352040621
"BEX3" NA NA NA NA NA NA 0.692048772226675
"ETHE1" 157.171208255234 6 0 157.171208255234 6 0 0.286945958127868
"CAVIN1" NA NA NA NA NA NA 0.622669526319003
"SLC20A1" 232.871783534924 6 0 232.871783534924 6 0 0.925056492042222
"IDH2" 251.746339523515 6 0 251.746339523515 6 0 0.633554437296458
"SH3PXD2A" 441.839489590582 6 0 441.839489590582 6 0 0.638964447853648
"PSME2" 203.672950375177 6 0 203.672950375177 6 0 0.627301267517642
"ITGA2" NA NA NA NA NA NA 0.99451231657189
